Source_id,source,target
1,"""Ctrl, S नुत्वा रक्षन्तु।""","Save it with Ctrl, S."
2,गुरुः छात्रान् एकवारं पाठयति ।,Teacher will teach the students only once.
3,चित्रचालनमिदं पुनः कर्तुं मया अस्याः राशेः चित्रद्वयं स्वीकरणीयमस्ति । इदमतीव सुलभमस्ति ।,"To recreate this animation, I have to take two images out of this stack which is very easy."
4,वयं Colors विकल्पं तस्योपरि नोदनेन चिनुमः ।,I will choose Colors options by clicking on it.
5,"""अत्र कानिचन उदाहरणानि पश्याम:- एक: पर्वत:, चत्वारो ग्रामा:, चत्वारो मार्गा: ये लक्ष्यं (पताकां) प्रति गच्छन्ति।""","""See the example here - one mountain, four villages, four paths leading to one goal towards flag."""
6,येनाहं शोकयुक्तीकृतस्तेन केवलमहं शोकयुक्तीकृतस्तन्नहि किन्त्वंशतो यूयं सर्व्वेऽपि यतोऽहमत्र कस्मिंश्चिद् दोषमारोपयितुं नेच्छामि।,"""But if any have caused grief, he hath not grieved me, but in part: that I may not overcharge you all."""
7,"""अंगुष्ठं परस्परं मेलयत । श्वासं स्वीकुर्यात्, शिर: उत्थापयेत्। वक्ष: स्थलं तथा उदरं धनुषाकारं कुर्यात । केवलं करतलं तथा अङ्गुष्ठम् एव भूमिं स्पृशति ।""","""• Tuck the toes. Inhaling, raise the head, chest, abdomen up making the back concave and the only parts of the body touching the ground are palms and toes."""
8,अतोऽत्र किमपि परिवर्तनं नावश्यकम् ।,So there is no need to change anything here.
9,"इदम् एलिमेण्ट्, सङ्ख्या वा स्ट्रिङ्ग् वा भवितुमर्हति ।",Element can be a number or a string.
10,बाल: एतासु प्रीतिं प्रदर्शयति ।,Boy displays kindness in them.
11,"अस्मिन् सरणौ विवरिष्यमाणानि प्रधानवैशिष्ट्यानि, इत्येतेषां विषयान् ज्ञास्यामः ।",key features that will be demonstrated in the Moodle series.
12,अत्र उपरि वातायनानि सन्ति।,"There are windows here, on the top."
13,सः विक्रयमनुसृत्य माध्यस्थिकं(commission) वा provision वा प्राप्नोति ।,He gets a commission or provision on what they sell.
14,तत्पश्चाद् द्वितीय एको दूत उपस्थायावदत् पतिता पतिता सा महाबाबिल् या सर्व्वजातीयान् स्वकीयं व्यभिचाररूपं क्रोधमदम् अपाययत्।,"""And there followed another angel, saying, Babylon is fallen, is fallen, that great city, because she made all nations drink of the wine of the wrath of her fornication."""
15,एते गवाक्षाः लेटेक् उपयुज्य typeset कर्तुम् आवश्यकनि त्रीणि सोपानानि सन्ति।,These correspond to the three distinct phases in typesetting through latex:
16,"""औषधि:, वृक्षा: मिलित्वा होम: निर्मिमस्ति।""",It is prepared by mixing some herbs and plants.
17,"""अन्यथा हनुमान् सागरम् इव त्वां लङ्घयित्वा गच्छेयम्"""""""" इति ।""",Otherwise Hanuman will go by leaping over you like the sea.
18,लिनक्स मध्ये एक्लिप्स इत्यस्य संस्थापनस्य विषये विद्यमानेऽस्मिन् पाठे भवतां स्वागतम्।,Welcome to the spoken tutorial on Installing Eclipse on Linux.
19,"इदं printf, प्रत्येकस्याः पङ्क्त्याः अन्ते newline character इतीदं मुद्रापयति ।",This printf is for printing a newline character at the end of each row.
20,अपि चेदं मम प्रथमचित्रमस्ति ।,And here is my first image.
21,अपेक्षितं फ़लितम् प्राप्यते ।,We get the output as expected.
22,"'Range' इति विकल्पः, मुद्रापणीयानां पृष्टानां श्रेणीं (Range) चेतुं साहाय्यं करोति।",Range allows us to select the range of pages that we want to print.
23,"इदन्तु ,AWT अपि च Swing components इत्येतैः युक्तेन Component Palette इत्यनेन च युक्तं वर्तते ।",It comes with a component Palette with pre installed AWT and Swing components.
24,राजा दुष्ट सेवकं बहिष्करोति ।,King expels evil servant.
25,बाल: एतस्मिन् वात्सल्यं प्रकटयति ।,Boy displays fondness in this.
26,भवदभीष्टं यत्किमपि वेब् ब्रौसर् उपयोक्तुमर्हन्ति भवन्तः ।,You may use any web browser of your choice.
27,ततः परं ते जैतुननाम्नः पर्व्वताद् विश्रामवारस्य पथः परिमाणम् अर्थात् प्रायेणार्द्धक्रोशं दुरस्थं यिरूशालम्नगरं परावृत्यागच्छन्।,"""Then returned they unto Jerusalem from the mount called Olivet, which is from Jerusalem a sabbath day's journey."""
28,एते सृती ।,These are roads.
29,"ओब्जेक्ट्स्-इतीमानि एकीकर्तुं अपि च प्रविभागं कर्तुं,",Align and distribute various objects
30,बाल: तस्यां आदरं प्रकटयति ।,Boy displays respect in that.
31,"""अपरं ख्रीष्टेन परीक्षितम् आपिल्लिं मम नमस्कारं वदत, आरिष्टबूलस्य परिजनांश्च मम नमस्कारं ज्ञापयध्वं।""",Salute Apelles approved in Christ. Salute them which are of Aristobulus' household.
32,बाल: तस्यां प्रीतिं प्रकटयति ।,Boy shows affection on her.
33,तत्सम्बद्धपाठाय कृपया अधस्तन जालपुटं पश्यन्तु : http://spoken-tutorial.org,"For relevant tutorials, please visit our website which is as shown: http://spoken-tutorial.org"
34,किन्तु ते सर्व्वोत्कृष्टम् अर्थतः स्वर्गीयं देशम् आकाङ्क्षन्ति तस्माद् ईश्वरस्तानधि न लज्जमानस्तेषाम् ईश्वर इति नाम गृहीतवान् यतः स तेषां कृते नगरमेकं संस्थापितवान्।,"""But now they desire a better country, that is, an heavenly: wherefore God is not ashamed to be called their God: for he hath prepared for them a city."""
35,scrap layer इत्येकस्मिन् अहमत्र भवते दर्शयामि ।,Let me show you this in a scrap layer here.
36,धृतीनां तामसी अधमा ।,"""Among the joys, worst is night."""
37,भ्रात्रोः कलहेन भीगनी खिन्ना भवति ।,Sister is distressed by the quarrel between the two brothers.
38,वामतः पेनल् मध्ये Site administration इतीदं पुनः नुदन्तु ।,Once again click on Site administration in the left panel.
39,"""मरियमः समीपम् आगता ये यिहूदीयलोकास्तदा यीशोरेतत् कर्म्मापश्यन् तेषां बहवो व्यश्वसन्,""","""Then many of the Jews which came to Mary, and had seen the things which Jesus did, believed on him."""
40,यत्किमपि मानवानां कृते उपयोगि भवति तत संसाधनम्।,Whatever useful for humans is a resource.
41,बाल: भवत्सु सौजन्यं करोति ।,Boy has kindness on you all.
42,प्राचीनसमये निर्दिष्ट: दिशा-निर्देशं अद्यपि विज्ञानम दिशां ददाति।,Ayurvedic herbs are time tested for their health and other benefits.
43,चरणौ वह्निकुण्डेतापितसुपित्तलसदृशौ रवश्च बहुतोयानां रवतुल्यः।,"""And his feet like unto fine brass, as if they burned in a furnace; and his voice as the sound of many waters."""
44,"""स्त्रियो गच्छन्ति, तदा रक्षिणां केचित् पुरं गत्वा यद्यद् घटितं तत्सर्व्वं प्रधानयाजकान् ज्ञापितवन्तः।""","""Now when they were going, behold, some of the watch came into the city, and shewed unto the chief priests all the things that were done."""
45,रेकोर्डिङ्ग् प्रारभे ।,Let me start recording.
46,एका संवादपेटिका उद्घटये यत्र चितस्य सम्पुटस्य प्रतिष्ठापनप्रगतिः दृश्यते।,A window will open which will show the download progress of the package selected for installation.
47,अधुना किं भवति इति पश्यामः। Save नुदन्तु।,Let us see what will happen. Click on Save.
48,"पुनः Stroke paint टेब्-प्रति आगच्छाम । स्ट्रोक्-वर्णं, RGB टेब्-मध्ये स्लैडर् चालयित्वा परिवर्तितुं शक्नुमः ।",Let's go back again to the Stroke paint tab. We can change the color of the stroke by moving the sliders under the RGB tab.
49,विघौऽस्मिन उष्णवायुं भोजनपाकमाध्यमेन प्रयुज्यते।,Hot air is used as a medium of cooking here.
50,3. उदरबलेन करणीयानाम आसनानां प्रारम्भिकास्थिति: कास्ति ?,3. What is the Sthiti (Initial) for Prone Posture?
51,HTML response इत्येतं client इत्यस्मै प्रतिप्रेषणाय वयं response object इत्यस्य उपयोगं कुर्मः ।,We will use the response object to send the HTML response back to the client side.
52,"पेनल् मध्ये, सैक्लोहेक्सेन् इत्यस्य बोट् कन्फ़र्मर् रचयितुं, नुत्वा कर्षयन्तु ।",Click and drag to draw boat conformer of cyclohexane on the Panel.
53,अत्र भवान् Saturation इतीदं प्रति विपरिवर्तनं (switch) कर्तुमपि शक्नोति ।,Here you can also switch to Saturation.
54,‘df’ इति आदेशः disc मध्ये उपलभ्यमानरिक्तस्थानस्य विषये ज्ञापयति।,The df command gives a report on the free space available on the disk.
